id,nama,nik,kk,alamat,RT,tanggal_lahir,pekerjaan,created_at
1,"Salman Rahmawati, M.Kom.",2268872926865910,6490727515330047,"Jalan Gardujati No. 2 Kota Administrasi Jakarta Barat, Kalimantan Tengah 86812",5,1965-02-28,Engineering geologist,2025-02-14 20:58:07
2,Hesti Andriani,5610861766855523,4646834304181946,"Jalan Rajawali Barat No. 6 Cimahi, ST 50830",9,1955-04-22,Database administrator,2025-02-14 20:58:07
3,"Ir. Ulya Kusmawati, S.Psi",4556712550093862,2529129302011579,"Jl. Suryakencana No. 515 Tasikmalaya, KU 54288",7,1996-10-23,Garment/textile technologist,2025-02-14 20:58:07
4,"H. Darmana Pangestu, S.E.",4267983801698881,234680403046685,"Gang Gedebage Selatan No. 421 Yogyakarta, BA 91478",6,1973-09-07,"Buyer, industrial",2025-02-14 20:58:07
5,Mumpuni Kurniawan,1665298043774171,4146832287231467,"Gang Cikutra Timur No. 0 Langsa, JB 68705",6,1975-06-12,Cytogeneticist,2025-02-14 20:58:07
6,Ghaliyati Wibisono,5070872841774075,1839796675183104,"Gg. Yos Sudarso No. 474 Banjar, DI Yogyakarta 58940",6,2003-04-13,Medical sales representative,2025-02-14 20:58:07
7,"R.A. Wani Simbolon, S.H.",3116187681707489,649877171949117,"Gg. HOS. Cokroaminoto No. 9 Sungai Penuh, JA 22770",5,1964-07-31,"Engineer, technical sales",2025-02-14 20:58:07
8,"Sutan Emong Agustina, S.Pd",5340594707351784,6614697467705329,"Gang Joyoboyo No. 738 Cilegon, JT 10486",5,2001-01-23,"Journalist, broadcasting",2025-02-14 20:58:07
9,Mulyono Nababan,6756107896506691,144120015095446,"Gg. Soekarno Hatta No. 55 Bau-Bau, KU 95161",4,1995-11-04,Food technologist,2025-02-14 20:58:07
10,Puti Dian Santoso,2140730362467568,9527927102131955,"Jl. Suniaraja No. 411 Banjarmasin, KS 79226",8,1991-09-19,Retail banker,2025-02-14 20:58:07
11,Almira Wacana,8864242343742547,7097469094819971,"Jl. Cikutra Timur No. 6 Metro, SS 57165",7,1955-04-02,Market researcher,2025-02-14 20:58:07
12,"Mujur Prastuti, M.Ak",4616438640297879,3188302313871975,"Gang Indragiri No. 14 Bukittinggi, Sumatera Utara 69295",4,1983-02-20,Software engineer,2025-02-14 20:58:07
13,Padma Sitompul,1385793744331761,5875662654634466,"Gang Rajiman No. 321 Palu, Banten 80748",5,1980-07-29,Newspaper journalist,2025-02-14 20:58:07
14,Drs. Faizah Marpaung,6623945724875978,21119629639239,"Jl. Pacuan Kuda No. 569 Bontang, KS 71456",4,1953-03-30,"Administrator, charities/voluntary organisations",2025-02-14 20:58:07
15,"Ir. Puti Wijaya, S.T.",4104008315316019,8947443412744756,"Jl. Rumah Sakit No. 77 Tasikmalaya, PA 14214",1,1977-01-03,"Secretary, company",2025-02-14 20:58:07
16,"Limar Sirait, M.Pd",4967973834878683,134862935286844,"Gg. Ahmad Dahlan No. 18 Makassar, Jawa Barat 00451",8,1986-07-09,Herbalist,2025-02-14 20:58:07
17,"Dt. Hamzah Wijaya, S.Sos",7617371971127993,2968657735833397,"Gg. Joyoboyo No. 4 Balikpapan, Riau 91314",6,1973-06-21,Chief Marketing Officer,2025-02-14 20:58:07
18,"Siti Nasyiah, S.H.",3794142155815919,735489547892327,"Jl. Tebet Barat Dalam No. 69 Bekasi, Kepulauan Bangka Belitung 55367",4,1950-10-25,"Loss adjuster, chartered",2025-02-14 20:58:07
19,Yance Rajata,480067390092510,5760965736678856,"Jl. BKR No. 821 Kediri, Aceh 30355",9,1968-07-10,Financial trader,2025-02-14 20:58:07
20,Salwa Hariyah,3564997241614385,3414483233614174,"Jl. Raya Setiabudhi No. 399 Bukittinggi, Kalimantan Utara 59634",5,1966-05-02,Regulatory affairs officer,2025-02-14 20:58:07
21,Cengkal Pertiwi,6705714690585004,2808997179326856,"Gang Kapten Muslihat No. 6 Bengkulu, SR 93680",3,1946-09-22,"Psychologist, clinical",2025-02-14 20:58:07
22,T. Praba Uyainah,3830513655808439,4899089074706003,"Gg. Raya Ujungberung No. 07 Sorong, KI 20058",4,1993-06-19,"Administrator, Civil Service",2025-02-14 20:58:07
23,"dr. Indah Oktaviani, S.Pt",2777190523284777,4616937265351564,"Jalan Otto Iskandardinata No. 05 Tasikmalaya, BT 20852",5,1999-07-25,Aeronautical engineer,2025-02-14 20:58:07
24,Citra Handayani,4253145238816678,4334014082765595,"Gang Pelajar Pejuang No. 74 Banjarmasin, JB 81179",3,1992-02-25,Physiological scientist,2025-02-14 20:58:07
25,Atmaja Hidayanto,3631553875138117,7847454540532127,"Jl. Ahmad Yani No. 6 Madiun, Jawa Barat 40491",2,1976-11-05,Financial trader,2025-02-14 20:58:07
26,Puti Cinthia Firmansyah,2819830174037812,7575844777171224,"Gg. Erlangga No. 070 Meulaboh, SU 23457",4,1980-01-16,Tourist information centre manager,2025-02-14 20:58:07
27,R.A. Suci Purwanti,5113511820271483,7804499998558514,"Jalan Moch. Ramdan No. 3 Surabaya, BT 50462",5,1959-08-19,Exercise physiologist,2025-02-14 20:58:07
28,Balamantri Maheswara,3429656326889994,8866889096329979,"Gg. Bangka Raya No. 8 Madiun, SB 18753",7,1957-12-22,"Doctor, hospital",2025-02-14 20:58:07
29,"Puti Safitri, S.Psi",2960497107715886,9642807187955323,"Jl. Suniaraja No. 3 Purwokerto, RI 86714",9,1964-07-17,Commissioning editor,2025-02-14 20:58:07
30,"Mulya Hastuti, S.Pd",2933460345095075,1474505707193121,"Gg. Raya Ujungberung No. 998 Bitung, Sumatera Barat 61850",4,1966-09-24,Publishing rights manager,2025-02-14 20:58:07
31,Mustika Januar,573378606445529,6727826715076043,"Gang Pasir Koja No. 2 Manado, NT 47840",1,1999-04-13,Nutritional therapist,2025-02-14 20:58:07
32,"Cut Ayu Pradana, S.E.I",460822444811791,7855896109857879,"Jl. Pasteur No. 53 Padang Sidempuan, Sulawesi Tengah 92101",6,1949-03-26,Firefighter,2025-02-14 20:58:07
33,Latika Rahimah,3386049937548602,2647618646987282,"Gg. Rajiman No. 2 Bontang, LA 78940",4,1996-08-16,Environmental consultant,2025-02-14 20:58:07
34,Ella Widodo,5723661710024963,7332965838010760,"Gg. Indragiri No. 73 Padangpanjang, Nusa Tenggara Barat 20148",3,1960-01-21,Building surveyor,2025-02-14 20:58:07
35,Kuncara Jailani,6951551147279026,500237986496069,"Gang M.H Thamrin No. 6 Jambi, KS 32775",8,1977-06-17,Plant breeder/geneticist,2025-02-14 20:58:07
